Item Code,Description
6260190001,CYCLOPENTOLATE-1% DRP MINIMS
6830010571,DEPOMEDROL-80MG INJECTION-1'S
6100090004,DICYNONE 125 MG/ML INJ 2ML AMP-4'S
6040060007,JJ BABY OIL-500ML
6610050001,BETADINE VD 125 ML
6680120019,HISTOP 2 MG / 5 ML SYR 100 ML
6240020010,HUMULIN R VIAL 10 ML 1'S
6830010172,ISOPTIN (VERAPAMIL) 2.5 MG/ML AMP 1'S
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N)
6340020027,EZILAX 67% SYR 300 ML
6450050017,FLAGYL 500 MG TAB 14'S
6720050028,FLAMAZINE 1% CR 50 G
6340020039,FLEET ENEMA-ADULT(133 ML)
6340020040,FLEET ENEMA -PEDIA (66 ML)
6260070007,FUCITHALMIC 1% VISCOUS ED 5 G
6090020036,PONSTAN FORTE 500 MG TAB 20'S
6260090011,PRED FORTE 1% ED SUS 5 ML
6590030008,NORMAL SALINE 500 ML
6830011552,NOVOFINE NEEDLES 100'S
6100130002,NITRODERM TTS 5mg PTC 10'S
6090020043,PROFINAL 100 MG / 5 ML SUS 110 ML
6680080016,PULMICORT (BUDESONIDE 0.5MG/1ML) NEB SOLN 2ML 5'S
6680060010,ATROVENT 500 MCG NEB SDU 20'S
6090020066,ADOL 120 MG /5 ML SYR 100 ML
6100010175,AMLOR 5 MG CAP 30'S
6310110001,PRILA 5% CR 5 G
6310040015,DUODERM 10X10 CM DRES
6310040016,DUODERM 20X20 CM DRES (GRANULFEX)
6590110002,KONAKION-10MG INJECTION-1'S (IV)
6590110001,KONAKION 2 MG INJECTION-1'S (IV / IM / SC)
6100020018,LASIX-20MG INJECTION-5'S
6200020016,OTRIVIN ADULT 0.1% ND 10 ML
6200020020,OTRIVIN 0.1% NS 10 ML
6200020017,OTRIVIN PED 0.05% ND 10 ML
6610060003,METHERGIN INJECTION-5'S
6260090008,MAXITROL EO 3.5 G
6100010084,LOPRESOR 100 MG TAB 20'S
6100010046,CONCOR 5 MG TAB 30'S
6630060010,AVALON AVOHEX MW 300 ML
6100240005,HIBOR 2500 IU / 0.2ML SYRINGE
6720120004,SUDOCREM 125 G
6680110018,VENTOLIN 100 MCG MDI 200'S
6680110019,VENTOLIN 0.5% NEB SOL 20 ML
6560020096,VOLTAREN 100 MG SUP 5'S
6560020097,VOLTAREN 12.5 MG SUP 10'S
6560020099,VOLTAREN 50 MG SUP 10'S
6560170020,VOLTAREN 1% EMULGEL 50 G
6020040011,XYLOCAINE-1% INJECTION 50ML
6240120001,GLUCAGEN HYPOKIT 1 MG VIAL 1'S
6240070013,SOLUCORTEF-100MG INJ VIAL 1'S
6240090101,SYNTOCINON 5 IU/ML INJ AMP 5'S
6260050007,TOBRADEX ED SUS 5 ML
6260050008,TOBRADEX EO 3.5 G
6260050010,TOBREX 0.3% EO 3.5 G
6090020057,TYLENOL 100 MG SUP 10'S
6090020058,TYLENOL 200 MG SUP 10'S
6090020059,TYLENOL 350 MG SUP 10'S
6240070006,DEXAMETHASONE INJ-5'S(8MG/2ML)
6680030015,ALLERFIN INJ AMP-1'S
6450020090,GENTAMICIN INJ.1'S (80MG/2ML)
6680060009,ATROVENT 250 MCG NEB SDU 20'S
6450020128,TRIAXONE-1GM (I.M)INJECTION
6020040013,XYLOCAINE-2% INJECTION -1'S
6180010052,BABYJOY SAVING NEWBORN (8*16)
6440010015,TENASLIP PLUS(L)-30'S
6440010016,TENASLIP PLUS(M)-30'S
6440010017,TENASLIP PLUS(S)-30'S
6240070016,SOLUMEDROL-40MG INJECTION-1'S
6100130001,NITRODERM TTS 10mg PTC 10'S
6450020129,TRIAXONE-1GM(I.V)INJECTION
6450010013,METRONIDAZOLE I.V-100ML
6580010309,SODIUM BICARBONATE-8.4% IV-50ML
6590080013,DEXTROSE-10% IV-500ML
6100240003,HEPARIN SODIUM-5000 IU / ML VOL- 5ML INJ-1'S
6590020026,CALCIUM GLUCONATE-10% INJECTION-10ML
6100090002,CYKLOKAPRON 500 MG INJ 5ML AMP-1'S
6680040003,AMINOPHYLLINE 25 MG/ML INJ 10ML(N)
6100020019,MANNITOL-20% IV-500ML
6100010226,PHENYLEPHRINE-2.5% DRP ( MINIMS -20'S)
6090290012,TRAMAL-100MG INJ AMP (2ML) -1'S
6090290006,NALOXONE 0.4MG/ ML INJECTION -1'S(DIS)
6090090069,PHENYTOIN 250 MG/ 5 ML AMP 1'S
6590020029,MAGNESIUM SULPHATE 50% INJ -5ML
