Item Code,Description
6450030065,DIFLUCAN 150 MG CAP 1'S
6450030007,DIFLUCAN 50 MG CAP 7'S
6100010058,DILZEM RETARD 90 MG TAB 30'S
6630090022,GUM 585 ACTIVITAL TB SOFT ULTRA COMPCT
6630090069,GUM 493 TOOTH.BRUSH
6070010019,DETTOL SOAP SKIN CARE 165 GM
6280020010,AVALON AVOQUIN 4% CR 50 G
6590010013,CalSource Forte calcium 500mg TEF 10'S
6450030017,FUNZOL 150 MG CAP 1'S
6610030008,CANESTEN 100 MG VO 6'S
6720030035,CANESTEN 1% CR 20 G
6720030036,CANESTEN 1% SOL 20 ML
6610030007,CANESTEN 10% VCR 5 G
6100010042,CARDURA 1 MG TAB 20'S
6450070093,DAROXIME 500 MG TAB 10'S
6450070104,FACTIVE 320 MG TAB 7'S (DIS)
6830011816,ADV SITZ BATH TSST 0101
6450070088,CURAM 1 G TAB 14'S
6100080020,ISOBID 20 MG CAP 20'S
6240090060,CYCLOGEST 200 MG VO 15'S
6240090061,CYCLOGEST 400 MG VO 15'S
6720090004,DAIVONEX 0.005% OIN 30 G
6720010017,DAKTACORT CR 15 G
6720030039,DAKTARIN 2% CR 30 G
6200030001,DAKTARIN 2% ORAL GEL 40 G
6450070089,DALACIN C 150 MG CAP 16'S
6450070090,DALACIN C 300 MG CAP 16'S
6450070091,DALACIN T 1% LOT 30 ML
6610070004,DALACIN 2% VCR 40 G
6240040053,DAONIL 5 MG -(GLIBENCLAMIDE) TAB 30'S
6650030006,DEEP HEAT RUB-100GM
6650030007,DEEP HEAT RUB-35GM
6650030009,DEEP HEAT SPRAY-150ML
6340050015,ASACOL 800 MG TAB 50'S
6340090014,DENTINOX 42 MG DRP SUS 100 ML
6630010005,DENTINOX BALM FOR BABY'GUM 15 G
6090090049,DEPAKINE 57.64 MG/ML SYR 150 ML
6090090050,DEPAKINE 200 MG TAB 40'S
6090090051,DEPAKINE 500 MG TAB 40'S
6830010311,DEPOMEDROL-40MG INJECTION-1'S
6830010571,DEPOMEDROL-80MG INJECTION-1'S
6630050148,DEPURDENT TP 75 ML
6720010019,DERMOVATE 0.05% CR 25 G
6720010020,DERMOVATE 0.05% OIN 25 G
